제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
689001660,리스카펜정_(1정),E62700ATB,acetaminophen,아세트아미노펜으로써 4000mg,4000,400,비급여,20170079,2017-02-16
626501680,판텍큐플러스연질캡슐_(1캡슐),E58000ACS,acetaminophen,"아세트아미노펜으로써 4,000mg",4000,200,비급여,20170079,2017-02-16
626501690,판텍큐노즈플러스연질캡슐_(1캡슐),E58100ACS,acetaminophen,"아세트아미노펜으로써 4,000mg",4000,200,비급여,20170079,2017-02-16
661605660,디큐펜맥스연질캡슐_(1캡슐),E62200ACS,acetaminophen,아세트아미노펜으로써 4000mg,4000,400,비급여,20170079,2017-02-16
648604690,나라필구강용해필름2.5밀리그램(나라트립탄염산염)_(2.78mg/1장),415501ATD,naratriptan hydrochloride (as naratriptan),나라트립탄 5mg,5,2.5,급여,20170079,2017-02-16
644503300,나그란구강붕해정2.5밀리그램(나라트립탄염산염)_(2.78mg/1정),415501ATD,naratriptan hydrochloride (as naratriptan),나라트립탄 5mg,5,2.5,급여,20170079,2017-02-16
642400260,로도핀정100mg(죠테핀)_(0.1g/1정),250801ATB,zotepine,450mg,450,100,급여,20180371,2018-08-31
642400240,로도핀정25mg(죠테핀)_(25mg/1정),250802ATB,zotepine,450mg,450,25,급여,20180371,2018-08-31
642400250,로도핀정50mg(죠테핀)_(50mg/1정),250803ATB,zotepine,450mg,450,50,급여,20180371,2018-08-31
640902870,모니마겐정350밀리그램(모니플루메이트)_(0.35g/1정),458402ATB,Morniflumate,"모니플루메이트 1,400mg",1400,350,급여,20210599,2021-12-16
645304380,가바뉴로캡슐75밀리그램(프레가발린)_(75mg/1캡슐),480401ACH,Pregabalin,프레가발린 600mg,600,75,급여,20210599,2021-12-16
652904160,서울가바펜틴캡슐100밀리그램_(0.1g/1캡슐),164201ACH,gabapentin,가바펜틴 3600mg,3600,100,급여,20210599,2021-12-16
621803610,리프렌캡슐50밀리그램(프레가발린)_(50mg/1캡슐),480406ACH,Pregabalin,프레가발린 600mg,600,50,급여,20210599,2021-12-16
641604590,대웅로수바스타틴정20밀리그램(로수바스타틴칼슘)_(20.8mg/1정),454002ATB,Rosuvastatin,로수바스타틴 20mg,20,20,급여,20210599,2021-12-16
678601360,크레로우정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정),454001ATB,Rosuvastatin,로수바스타틴 20mg,20,10,급여,20210599,2021-12-16
678601350,크레로우정20밀리그램(로수바스타틴칼슘)_(20.8mg/1정),454002ATB,Rosuvastatin,로수바스타틴 20mg,20,20,급여,20210599,2021-12-16
658502150,메트린정500mg(메트포르민염산염)_(0.5g/1정),191502ATB,Metformin,"메트포르민염산염 2,550mg",2550,500,급여,20210599,2021-12-16
693902250,리프레가캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),480402ACH,Pregabalin,프레가발린 600mg,600,150,급여,20210599,2021-12-16
680500720,프레탑캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),480402ACH,Pregabalin,프레가발린 600mg,600,150,급여,20210599,2021-12-16
645600370,대화염산플루옥세틴캡슐_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,급여,20210599,2021-12-16
656002990,모니메르정(모니플루메이트)_(0.35g/1정),458402ATB,Morniflumate,"모니플루메이트 1,400mg",1400,350,급여,20210599,2021-12-16
662503160,모니플라정(모니플루메이트)_(0.35g/1정),458402ATB,Morniflumate,"모니플루메이트 1,400mg",1400,350,급여,20210599,2021-12-16
669906130,모루밍정(모니플루메이트)_(0.35g/1정),458402ATB,Morniflumate,"모니플루메이트 1,400mg",1400,350,급여,20210599,2021-12-16
643103950,바이넥스모니플루메이트정_(0.35g/1정),458402ATB,Morniflumate,"모니플루메이트 1,400mg",1400,350,급여,20210599,2021-12-16
643202600,플로맥스정(모니플루메이트)_(0.35g/1정),458402ATB,Morniflumate,"모니플루메이트 1,400mg",1400,350,급여,20210599,2021-12-16
