제품코드,제품명,성분코드,성분명,최대투여기간일수,공고일자,공고번호,급여구분
652100640,스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
649802851,"케토신주사(케토롤락트로메타민염)(수출명:뉴케토신주사,NEWKETOCININJ)_(30mg/1mL)",180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
642701320,맥페란정(메토클로프라미드)_(3.84mg/1정),193701ATB,metoclopramide HCl,5,2017-02-16,20170079,급여
643502320,졸피드정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
647200670,"코러스니메술리드정(수출명:Pacisulide Tab, Nimed Tab.)_(0.1g/1정)",201801ATB,nimesulide,15,2017-02-16,20170079,급여
649507420,스립정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
657801710,카타스정50밀리그람(디클로페낙칼륨)_(50mg/1정),143402ATB,diclofenac potassium,14,2017-02-16,20170079,급여
648102001,케토란주(케토롤락트로메타민)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
658603171,케톨민주(케토롤락트로메타민)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
649602011,"케토락주(케토롤락트롤메타민)(수출명:케토롤락트로메타민주,케토메드주)_(30mg/1mL)",180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
665507731,유니온케토롤락주(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
657200821,트롤락주(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
642801200,졸피움정(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
646002281,타벨주(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
648603951,케롤주(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
59000681,케롤락주(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
622800110,지세트프러스정_(1정),259900ATB,cetirizine HCl,21,2017-02-16,20170079,급여
640901100,코리텍정_(1정),259900ATB,cetirizine HCl,21,2017-02-16,20170079,급여
693200930,코에굿정_(1정),259900ATB,cetirizine HCl,21,2017-02-16,20170079,급여
641500410,센티콜캡슐_(1캡슐),259900ACH,cetirizine HCl,21,2017-02-16,20170079,급여
641905900,나제론오디정0.1mg(라모세트론염산염)_(0.1mg/1정),222601ATD,ramosetron HCl,5,2017-02-16,20170079,급여
680900230,나제아오디정0.1mg(라모세트론염산염)_(0.1mg/1정),222601ATD,ramosetron HCl,5,2017-02-16,20170079,급여
657804810,람세트오디정0.1밀리그램(라모세트론염산염)_(0.1mg/1정),222601ATD,ramosetron HCl,5,2017-02-16,20170079,급여
657801801,케로민주사(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
644902540,메수리드정(니메술리드)_(0.1g/1정),201801ATB,nimesulide,15,2017-02-16,20170079,급여
647804481,케라신주(케토롤락트로메타민)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
57200121,타라신주(케토롤락트로메타민)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
645902651,케로라주(케토롤락트로메타민염)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
651901770,졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),243501ATB,triazolam,21,2017-02-16,20170079,급여
651901780,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),243502ATB,triazolam,21,2017-02-16,20170079,급여
657200830,트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),243502ATB,triazolam,21,2017-02-16,20170079,급여
651901790,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
657200670,졸피람정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
653003460,파마주석산졸피뎀정(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
668100180,산도스졸피뎀정10mg(주석산졸피뎀)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
657202920,트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),243501ATB,triazolam,21,2017-02-16,20170079,급여
653400910,케토라신정(케토롤락트로메타민)_(10mg/1정),180001ATB,ketorolac tromethamine,7,2017-02-16,20170079,급여
694800091,타라신주(케토롤락트로메타민)_(30mg/1mL),180033BIJ,ketorolac tromethamine,2,2017-02-16,20170079,급여
668901550,산쿠소패취(그라니세트론)_(80.2X66.6㎟/1매),505701CPC,granisetron,7,2017-02-16,20170079,급여
649806810,스틸렉스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),250501ATB,zolpidem,28,2017-02-16,20170079,급여
645605660,라모즈구강용해필름(라모세트론염산염)_(0.1mg/1장),222601ATD,ramosetron HCl,5,2017-02-16,20170079,비급여
644308270,람트론오디정(라모세트론염산염)_(0.1mg/1정),222601ATD,ramosetron HCl,5,2017-02-16,20170079,급여
649507410,스립정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),250502ATB,zolpidem tartrate,28,2018-01-03,20180003,급여
643507160,졸피드정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),250502ATB,zolpidem tartrate,28,2018-01-03,20180003,급여
651904470,졸피신정5mg(졸피뎀타르타르산염)_(5mg/1정),250502ATB,zolpidem tartrate,28,2018-01-03,20180003,급여
650902071,프레조폴엠시티1%주(프로포폴)(바이알)_(0.15g/15mL),219834BIJ,propofol,3,2018-08-31,20180371,급여
657804561,아네폴주사(프로포폴)_(50mg/5mL),219830BIJ,propofol,3,2018-08-31,20180371,급여
657804571,아네폴주사(프로포폴)_(80mg/8mL),219831BIJ,propofol,3,2018-08-31,20180371,급여
653403541,포폴주사(프로포폴)(앰플)_(80mg/8mL),219831BIJ,propofol,3,2018-08-31,20180371,급여
659901851,프로바이브주1%(프로포폴)(PROVIVE1%(propofol))_(0.1g/10mL),219832BIJ,propofol,3,2018-08-31,20180371,급여
671805073,프리폴-엠시티주(프로포폴)_(0.12g/12mL),219833BIJ,propofol,3,2018-08-31,20180371,급여
653402351,포폴주사(프로포폴)(앰플)_(0.12g/12mL),219833BIJ,propofol,3,2018-08-31,20180371,급여
657804591,아네폴주사(프로포폴)_(0.12g/12mL),219833BIJ,propofol,3,2018-08-31,20180371,급여
650901871,프레조폴엠시티1%주(프로포폴)(앰플)_(0.15g/15mL),219834BIJ,propofol,3,2018-08-31,20180371,급여
671805661,프리폴-엠시티주(프로포폴)_(0.15g/15mL),219834BIJ,propofol,3,2018-08-31,20180371,급여
667400821,비.브라운프로포폴-리푸로1%주(앰플)_(0.2g/20mL),219835BIJ,propofol,3,2018-08-31,20180371,급여
653402371,포폴주사(프로포폴)(앰플)_(0.2g/20mL),219835BIJ,propofol,3,2018-08-31,20180371,급여
650902041,프레조폴엠시티1%주(프로포폴)(바이알)_(0.2g/20mL),219835BIJ,propofol,3,2018-08-31,20180371,급여
650901851,프레조폴엠시티1%주(프로포폴)(앰플)_(0.2g/20mL),219835BIJ,propofol,3,2018-08-31,20180371,급여
671805083,프리폴-엠시티주(프로포폴)_(0.2g/20mL),219835BIJ,propofol,3,2018-08-31,20180371,급여
657804611,아네폴주사(프로포폴)_(0.2g/20mL),219835BIJ,propofol,3,2018-08-31,20180371,급여
667400811,비.브라운 프로포폴-리푸로1%주_(0.5g/50mL),219836BIJ,propofol,3,2018-08-31,20180371,급여
671805092,프리폴-엠시티주(프로포폴)_(0.5g/50mL),219836BIJ,propofol,3,2018-08-31,20180371,급여
650901861,프레조폴엠시티1%주(프로포폴)(바이알)_(0.5g/50mL),219836BIJ,propofol,3,2018-08-31,20180371,급여
653402331,포폴주사(프로포폴)(바이알)_(0.5g/50mL),219836BIJ,propofol,3,2018-08-31,20180371,급여
650901841,프레조폴엠시티2%주(프로포폴)(바이알)_(1g/50mL),219838BIJ,propofol,3,2018-08-31,20180371,급여
671805811,프리폴-엠시티주2%(프로포폴)_(1g/50mL),219838BIJ,propofol,3,2018-08-31,20180371,급여
